iter	Passed	Remaining
874	1827	261
875	1829	258
876	1831	256
877	1833	254
878	1835	252
879	1837	250
880	1839	248
881	1841	246
882	1843	244
883	1845	242
884	1847	240
885	1849	237
886	1851	235
887	1853	233
888	1855	231
889	1857	229
890	1858	227
891	1861	225
892	1863	223
893	1865	221
894	1867	219
895	1869	216
896	1871	214
897	1873	212
898	1875	210
899	1877	208
900	1879	206
901	1881	204
902	1883	202
903	1885	200
904	1887	198
905	1889	196
906	1891	193
907	1893	191
908	1895	189
909	1897	187
910	1899	185
911	1901	183
912	1903	181
913	1905	179
914	1907	177
915	1910	175
916	1912	173
917	1913	170
918	1915	168
919	1917	166
920	1919	164
921	1920	162
922	1922	160
923	1924	158
924	1926	156
925	1928	154
926	1930	152
927	1932	149
928	1934	147
929	1935	145
930	1937	143
931	1939	141
932	1942	139
933	1943	137
934	1947	135
935	1950	133
936	1952	131
937	1953	129
938	1956	127
939	1958	124
940	1959	122
941	1961	120
942	1963	118
943	1965	116
944	1967	114
945	1969	112
946	1971	110
947	1972	108
948	1974	106
949	1976	104
950	1978	101
951	1980	99
952	1982	97
953	1983	95
954	1986	93
955	1988	91
956	1990	89
957	1991	87
958	1993	85
959	1995	83
960	1997	81
961	1999	78
962	2001	76
963	2003	74
964	2005	72
965	2007	70
966	2009	68
967	2010	66
968	2013	64
969	2015	62
970	2017	60
971	2019	58
972	2020	56
973	2022	53
974	2024	51
975	2026	49
976	2028	47
977	2030	45
978	2032	43
979	2034	41
980	2037	39
981	2038	37
982	2040	35
983	2042	33
984	2044	31
985	2046	29
986	2048	26
987	2050	24
988	2052	22
989	2054	20
990	2056	18
991	2058	16
992	2060	14
993	2062	12
994	2064	10
995	2066	8
996	2068	6
997	2070	4
998	2072	2
999	2074	0
